ident,name,runway,latitude,longitude
81OH,Elbel Airport,Hamersville,-83.983002,38.891701
81OI,Brown Heliport,Cincinnati,-84.60189819,39.08060074
81OK,Twin Lakes Ranch Airport,Granite,-99.33940125,35.02640152
81OR,Wagontire Airport,Burns,-119.875,43.24990082
81PA,Derf Haus Heliport,Thompson,-75.54070282,41.86339951
81PN,Armstrong County Memorial Hospital Heliport,Kittanning,-79.54810333,40.81119919
81TA,Masterson Heliport,Mico,-98.92949677,29.55660057
81TE,Horn Ranch Airport,Del Rio,-100.6169968,29.54190063
81TS,Dibrell Airport,Crockett,-95.275497,31.4438
81TX,La Leona Airport,Terlingua,-103.565001,29.3433
81VA,Ferguson Airport,Rocky Mount,-79.78859711,37.11809921
81WA,Jobe Skis Plant 1 Heliport,Redmond,-122.1360016,47.6853981
81WI,Gunner Field,Athens,-90.176498,45.0786041
81XS,Post Oak Central Heliport,Houston,-95.46469879,29.72909927
82AK,Jim's Landing Airport,Palmer,-149.190991,61.6166
82CA,Sce Moorpark Substation Heliport,Moorpark,-118.9029999,34.27939987
82CD,Creech Heliport,Lexington,-84.31825,38.081583
82CL,Fort Bragg Airport,Fort Bragg,-123.7959976,39.47430038
82CO,Mountain Bell Heliport,Grand Junction,-108.5839996,39.09749985
82D,Weiker Airport,Green Springs,-83.029099,41.229198
82FD,Atc Heliport,Jupiter,-80.09279633,26.98870087
82FL,BR Ranch Airport,Jupiter,-80.205299,26.9142
82GA,Paces South Farms Airport,Wadley,-82.38529968,32.80879974
82IL,Mercyhealth System-Riverside Heliport,Rockford,-88.960166,42.315222
82IN,Hunter Airport,North Manchester,-85.92919922,40.98120117
82IS,Landings Condominium Airport,Huntley,-88.4029007,42.14310074
82KY,Woodledge Farm Airport,Crestwood,-85.48190308,38.28340149
82LA,Fisher's Field,Chalmette,-89.93280029,29.93239975
82LL,Cheechako Airport,Monroe Center,-88.99230194,42.12950134
82MO,Cameron Community Hospital Heliport,Cameron,-94.2189417,39.7304556
82MU,Ktts Heliport,Springfield,-93.32319641,37.19639969
82NC,Pineview Air Airport,Sanford,-79.07330322,35.30810165
82NH,Summit Meadow Heliport,Peterborough,-71.915167,42.896267
82NJ,Graphic Scanning Corporation Heliport,West Englewood,-73.99120331,40.88619995
82NM,Skeen Ranch Airport,Picacho,-105.1340027,33.17010117
82NY,Silvernails Field,Gallatin,-73.67111,42.001389
82OH,Rocky Ridge Airpark,Waterville,-83.77130127,41.50780106
82OI,J-Em Farm Airport,Columbus,-83.27490234,40.15420151
82OK,St John Sapulpa Hospital Heliport,Sapulpa,-96.09190369,36.00009918
82OR,Lost Creek Airport,Dexter,-122.8170013,43.89929962
82PA,Frame Field,Candor,-80.30529785,40.39670181
82TA,Gellhorn Pad Heliport,Houston,-95.26850128,29.78079987
82TE,Tarry Bank Airport,Leon Springs,-98.707498,29.691602
82TS,Elmdale Airpark,Abilene,-99.65039825,32.45009995
82TX,St Joseph Hospital Heliport,Bryan,-96.34750366,30.65710068
82VA,Root Field,Verona,-78.96920013,38.1731987
82WA,Kittitas Valley Healthcare Heliport,Ellensburg,-120.5378194,46.9876555
82WI,Triple S Ranch Airport,Whitelaw,-87.81439972,44.14920044
82XS,Circle P Ranch Airport,Floresville,-98.21669769,29.10269928
83AK,Tolovana Hot Springs Airport,Fairbanks,-148.8300018,65.25650024
83B,Presque Isle Seaplane Base,Presque Isle,-68.061096,46.7075
83CA,The Met Heliport,Costa Mesa,-117.877966,33.688469
83CO,Snake River Health Services Inc Heliport,Keystone,-105.9589996,39.60419846
83FD,Lake Montaza Airport,Okeechobee,-80.81529999,27.58029938
83FL,Nassau Airport,Yulee,-81.53369904,30.61879921
83GA,Brock Airpark,Bainbridge,-84.50610352,30.99970055
83IA,Keokuk County Health Center Heliport,Sigourney,-92.20549774,41.32249832
83IL,Oltman-Shuck Airport,Minonk,-89.10399628,40.89279938
83IN,Goodenough Airport,Peru,-86.00050354,40.7397995
83IS,Prairie Airport,Irvington,-89.1312027,38.42639923
83J,Coastal Airport,Pensacola,-87.38529968,30.53190041
83KS,Miller Aeroplane Field,Wamego,-96.29969788,39.23529816
83KY,Works Heliport,Erlanger,-84.54470062,38.98109818
83L,Southeast Superior Court Heliport,Norwalk,-118.072998,33.91360092
83LA,Ledet Airfield,Cut Off,-90.329498,29.5555
83LL,Lindauer Airport,New Athens,-89.85510254,38.30360031
83MI,St. Joseph Mercy Oakland-Bassett Street Helipad,Pontiac,-83.27586,42.612111
83MN,Ponderosa Seaplane Base,Outing,-93.98940277,46.86309814
83MO,North Kansas City Hospital Heliport,North Kansas City,-94.55130005,39.1493988
83MU,Dalbom Ultralightport,Stella,-94.21240234,36.76900101
83NC,Holly Green Heliport,Durham,-78.98809814,35.92229843
83NE,Abbott Airport,Long Pine,-99.7559967,42.32500076
83NJ,Mac Millan Restricted Helistop,Delran,-74.96070099,40.020401
83NM,King Ranch Airport,Pie Town,-108.0059967,34.64810181
83NY,Norcross Helipad Heliport,Rochester,-77.64969635,43.12369919
83OH,Adams Strip,Pleasent Hill,-84.37940216,40.06230164
83OI,M P W Heliport,Hebron,-82.52739716,39.95449829
83OK,Sweetbriar Airport,Murry Spur,-94.57800293,35.25680161
83OR,Tamarack Springs Ranch Airport,Lostine,-117.4720001,45.50130081
83PA,Mmc Heliport,Jeannette,-79.61029816,40.31119919
83PN,Wpxi-Tv Television Hill Heliport,Pittsburgh,-80.00460052,40.4632988
83Q,Port of Poulsbo Marina Moorage Seaplane Base,Poulsbo,-122.6470032,47.73400116
83R,Glen Beicker Ranch Airport,Seguin,-97.78829956,29.52939987
83TA,Rainbow Field,Purdon,-96.60030365,31.90029907
83TE,K Bar Ranch Airport,Sabinal,-99.49389648,29.49690056
83TS,Moore Ranch Airport,Gordon,-98.41970062,32.42670059
83TX,Texas A And M Flight Test Station Airport,Bryan,-96.4835968,30.63349915
83V,Upton Municipal Airport,Upton,-104.6409988,44.09049988
83VA,Medical Heliport,Williamsburg,-76.72250366,37.28039932
83WA,Darcy's Air Strip,Walla Walla,-118.1679993,46.02759933
83WI,Jones Airport,Dorchester,-90.34619904,44.97050095
83XS,Ball Park Heliport,Houston,-95.61830139,29.67469978
84AK,T-Time Heliport,Wasilla,-149.33453,61.587245
84AL,Blessings Landing Air Ranch,Pinckard,-85.52705,31.3031
84C,Valhalla Airport,North Cape,-88.04260254,42.76250076
84CA,Beverly Center Heliport,Los Angeles,-118.3769989,34.07389832
84CL,Century City Heliport,Los Angeles,-118.4179993,34.06079865
84CO,Rampart Heliport,Castle Rock,-104.841906,39.344239
84FD,North Port Ems Heliport,North Port,-82.23629761,27.04610062
84FL,Capeletti Heliport,Hialeah,-80.29979706,25.92539978
84G,Cobo Hall Heliport,Detroit,-83.04799652,42.32590103
84GA,Screven Ems Heliport,Sylvania,-81.67209625,32.75099945
84ID,Shetler'S Heliport,Twin Falls,-114.5454,42.54325
84IL,Rossi's Farm Airport,Minooka,-88.27780151,41.50699997
84IN,Kosciusko Community Hospital Heliport,Warsaw,-85.8289032,41.24779892
84IS,Passavant Area Hospital Heliport,Jacksonville,-90.2507019,39.74869919
84K,Meyers Chuck Seaplane Base,Meyers Chuck,-132.2550049,55.73960114
84KY,Greene County Parachute Center Airport,Bardstown,-85.540002,37.8153
84L,Norwalk Sheriff Station Heliport,Norwalk,-118.0699997,33.91329956
84LA,Touchstone Ridge Ultralightport,Haughton,-93.59320068,32.55289841
84MI,Timbers Sky Camp Airport,South Branch,-83.881897,44.469501
84MN,Nielsville Airport,Nielsville,-96.8309021,47.53329849
84MO,Holiday Inn Westport Heliport,St Louis,-90.44869995,38.69390106
84MT,Shimmon Airport,Corvallis,-114.050214,46.280813
84NC,Rooster Field,Cameron,-79.248611,35.273333
84ND,Kyllo Airport,Mc Canna,-97.75700378,48.00080109
84NJ,Edison Square Heliport,Edison,-74.39179993,40.52320099
84NK,St. Luke's Cornwall Hospital Heliport,Cornwall,-74.041111,41.434583
84NM,Nalda Ranch Airport,Pie Town,-108.1620026,34.35340118
84NR,Dupree Willow Heliport,Fuquay-Varina,-78.719495,35.582577
84NY,Skyview Airport,Rush,-77.61250305,42.98619843
84OH,Hanshell Flying Apple Airport,Octa,-83.65100098,39.58119965
84OI,Grant Lifeflight 2 Heliport,Wellston,-82.53820038,39.12509918
84OK,Collier Farms Airport,Taloga,-99.053201,35.938901
84OL,Cotton Field,Broken Arrow,-95.76550293,36.11040115
84OR,B Bar Ranch Airport,Selma,-123.5699997,42.24760056
84PA,Ged Heliport,Birdsboro,-75.82630157,40.30929947
84PN,Draco STOLport,Stewartstown,-76.53549957,39.75260162
84TA,Allied Northborough Heliport,Houston,-95.41940308,29.95739937
84TE,W4 Ranch Airport,Morgan,-97.543181,31.988067
84TS,Tourist Ride Services Heliport,Galveston,-94.86460114,29.24609947
84TX,Camp Longhorn Airport,Buchanan Dam,-98.37860107,30.74130058
84U,Butte Aero Heliport,Butte,-112.497002,45.9533
84VA,Cia Headquarters Heliport,Langley,-77.15249634,38.95289993
84WA,D and B Airpark,Elma,-123.3840027,46.97290039
84WI,Lutheran Hospital - La Crosse Heliport,La Crosse,-91.24739838,43.79299927
84WY,Moore Ranch Airport,Douglas,-105.743055,43.446111
84XS,Lang Ranch Airport,Mountain Home,-99.398889,30.255
84Y,Bloomfield Municipal Airport,Bloomfield,-97.67369843,42.57970047
85AK,Marion Seaplane Base,Big Lake,-149.908611,61.509167
85B,Shin Pond Seaplane Base,Patten,-68.56199646,46.10419846
85CA,Redwood Coast Medical Services Heliport,Gualala,-123.5299988,38.77069855
85CO,Anderson Heliport,Niwot,-105.1620026,40.11249924
85FA,North Exuma Airport,Deland,-81.27760315,29.09490013
85FD,Advent Health Kissimmee Heliport,Kissimmee,-81.405979,28.315393
85FL,Thomas Farms Airport,Jay,-87.0515976,30.96929932
85GA,Aiken Field,Talmo,-83.73100281,34.17229843
85IA,Henry Airport,Floyd,-92.69740295,43.17860031
85IL,Durbin Airport,Sullivan,-88.6359024,39.63729858
85IN,Leak Airport,Tab,-87.50499725,40.43389893
85KS,Sanders Airport,Winchester,-95.21450043,39.30099869
85KY,Deer Run Airpark,New Castle,-85.13860321,38.47029877
85LA,Transco Kaplan Heliport,Kaplan,-92.28230286,29.98130035
85LL,Wormley Airport,Oswego,-88.26229858,41.68389893
85MA,Lahey Clinic Heliport,Burlington,-71.201625,42.484764
85MI,Dewind Field,Zeeland,-86.01380157,42.93230057
85MN,Christison Airport,Plainview,-92.20210266,44.15859985
85MO,Willhite Airport,Swedeborg,-92.32240295,37.875
85N,Hollands International Field,Newfane,-78.76779938,43.26670074
85NC,Reagans Roost Ultralightport,Whittier,-83.16680145,35.42919922
85NE,Meyers Freedom Flight Hardy Airport,Hardy,-97.94200134,40.02080154
85NJ,Webcraft Heliport,North Brunswick,-74.4937973,40.44680023
85NM,Playas Medical Building Heliport,Playas,-108.5339966,31.91449928
85NY,High Acres Airport,Sardinia,-78.51999664,42.57839966
85OH,Tounshendeaux Airport,West Farmington,-80.9469986,41.4137001
85OI,Children's Hospital Heliport,Akron,-81.52760315,41.08620071
85OK,Red Stevenson Property Heliport,Tijuana,-95.00019836,36.48339844
85OL,Huscher Field,Cache,-98.59559631,34.61949921
85OR,Allen's Airstrip,Bly,-121.0490036,42.40459824
85PA,Krumenacker Airport,Carrolltown,-78.77839661,40.5951004
85PN,Kiski Airport,Vandergrift,-79.6053009,40.57920074
85TA,J-Bar Ranch Airport,Collinsville,-96.812401,33.579899
85TE,Old Kingsbury Aerodrome,Kingsbury,-97.81169891,29.63419914
85TS,American Eurocopter Heliport,Grand Prairie,-97.048103,32.702099
85TX,Rutherford Ranch Airport,Buda,-97.96559906,30.07769966
85U,Soldier Bar US Forest Service Airport,Soldier Bar,-114.799404,45.104486
85V,Ganado Airport,Ganado,-109.5100021,35.70140076
85VA,Land's End Seaplane Base,Reedville,-76.24669647,37.85359955
85WA,Scott Seed Farm Airport,Pomeroy,-117.7649994,46.5265007
85WI,Cub Bear Airport,Emerald,-92.2928009,45.04439926
85XS,Marine Consultants Inc Heliport,Houston,-95.274101,29.7061
86AK,Hoppe'S Seaplane Base,Big Lake,-149.94575,61.551431
86AR,Goacher Airport,Lonoke,-91.95429993,34.82929993
86CA,Valley Medical Center Heliport,Fresno,-119.7539978,36.73720169
86CL,Ernst Field,Hemet,-116.8830032,33.59719849
86CN,Mercy Medical Center Merced Heliport,Merced,-120.466636,37.340819
86CO,Lazy W Airport,Berthoud,-105.1449966,40.31359863
86FD,Country Landings Airport,Bell,-82.89640045,29.76469994
86FL,Lake Shore Hospital Heliport,Lake City,-82.63009644,30.19330025
86GA,Flying G Ranch Airport,Tunnel Hill,-85.06109619,34.86790085
86IL,Sharp Airport,Bethany,-88.764444,39.681667
86IN,Washington County Hospital Heliport,Salem,-86.10690308,38.61330032
86IS,Michael Pfister Airport,Roanoke,-89.25779724,40.77939987
86KS,Weiss Airport,Spring Hill,-94.8246994,38.7057991
86KY,Hornback Airport,Hodgenville,-85.792198,37.621399
86LA,Spring Airport,Kentwood,-90.66570282,30.97380066
86MI,Downwind Acres Airport,Willis,-83.56739807,42.15280151
86MN,Minn D O T Heliport,Rochester,-92.505698,44.072201
86MO,Bothwell Regional Health Center Heliport,Sedalia,-93.22239685,38.69860077
86NC,Craig Craft Airport,Hertford,-76.49330139,36.2635994
86NE,Orum Aerodrome,Blair,-96.27390289,41.54169846
86NJ,Hercules Inc. Heliport,Sayerville,-74.33399963,40.45199966
86NY,East Farm Heliport,Head Of The Harbor,-73.155689,40.913264
86OH,Westfield Airport,Westfield Center,-81.92009735,41.01279831
86OI,Belcan Heliport,Blue Ash,-84.38829803,39.25780106
86OK,St Francis Hospital Vinita Heliport,Vinita,-95.156666,36.653438
86OR,Amber Glen Business Center Hp Heliport,Beaverton,-122.8830032,45.53039932
86PA,7D Farms Heliport,Tipton,-78.30059814,40.64450073
86PN,Seesholtz Airport,Bloomsburg,-76.35520172,41.04449844
86TA,Slaughter Ranch Airport,Marble Falls,-98.29750061,30.61269951
86TE,Matthews Ranch Airport,Santo,-98.14730072,32.64989853
86TS,Fairway Farm Airport,San Augustine,-94.03350067,31.48349953
86TX,Flying J Airport,Bulverde,-98.37889862,29.73719978
86VA,Newport News General Hospital Heliport,Newport News,-76.42469788,36.99990082
86WA,Kapowsin Field,Kapowsin,-122.2360001,47.00400162
86WI,Bakers Field,Blanchardville,-89.870102,42.825298
86XS,Gesin Ranches Airport,Sweetwater,-100.3669968,32.40010071
87AK,Soloy Strip,Wasilla,-149.2879944,61.6515007
87B,Portage Lake Municipal Seaplane Base,Portage Lake,-68.48079681,46.76029968
87CA,Swanson Ranch Nr 1 Airport,Hanford,-119.617995,36.399899
87CL,City National Plaza Heliport,Los Angeles,-118.2570038,34.05139923
87CN,Honda of Santa Ana Heliport,Santa Ana,-117.8359985,33.72710037
87CO,Young's Strip,Bennett,-104.4160004,39.69110107
87FD,Palm Beach Gardens Medical Center Heliport,Palm Beach Gardens,-80.08570099,26.82929993
87FL,King Heliport,New Port Richey,-82.74359894,28.25250053
87GA,Tanner Medical Center/Villa Rica Heliport,Villa Rica,-85.92410278,33.73619843
87IL,Bushby RLA Restricted Landing Area,Minooka,-88.26670074,41.51670074
87IN,May's Strip,Walkerton,-86.46970367,41.45299911
87IS,Seigfried Halfpap Airport,Quincy,-91.3207016,39.88619995
87KS,Holyrood Municipal Airport,Holyrood,-98.4048,38.587502
87KY,Midwest Communication Heliport,Highland Heights,-84.46379852,39.04560089
87LA,Lafayette Hilton Heliport,Lafayette,-92.0153,30.196
87MI,Borgess Pipp Hospital Heliport,Plainwell,-85.654975,42.447261
87MN,Erickson Airport,Roosevelt,-95.20159912,48.81029892
87MO,Richters Airport,East Lynne,-94.25800323,38.69609833
87N,Southampton Heliport,Southampton,-72.46399689,40.84730148
87NC,Angier (C A G Farms) Airport,Angier,-78.65200281,35.46876166
87NE,Knox Landing Airport,York,-97.58779907,40.80920029
87NJ,Shore Memorial Hospital Heliport,Somers Point,-74.59400177,39.31399918
87OH,Mundron Field,Fayette,-84.37359619,41.70560074
87OI,Lake Air Ranch Airport,Norwalk,-82.6230011,41.27230072
87OK,Wagoner Community Hospital Heliport,Wagoner,-95.05020142,35.95009995
87OR,Moondance Ranch Airport,Beatty,-121.3290024,42.65179825
87PA,Waltman Airport,Chicora,-79.73870087,40.92649841
87TA,Cielo Grande Ranch Airport,Mountain Home,-99.26979828,30.18910027
87TE,Rose Field Airport,Needville,-95.8655014,29.45190048
87TS,Star Houston Heliport,Houston,-95.44300079,29.78359985
87TX,Porter Ranch Airport,Burnell,-97.76029968,28.69000053
87VA,Cottonwood Farm Airport,Crozet,-78.69560242,38.08110046
87WA,Trios Women & Childrens Hospital Heliport,Kennewick,-119.120221,46.199343
87WI,Quale Airport,Cottage Grove,-89.18540192,43.01940155
87XS,Cinco B Ranch Airport,Medina,-99.26280212,29.78770065
88AK,Dutch Landing Strip,Sterling,-150.8679962,60.54029846
88AZ,Grapevine Airstrip,Roosevelt,-111.0569167,33.6409083
88C,Palmyra Municipal Airport,Palmyra,-88.59739685,42.88359833
88CA,Regional Medical Center San Jose H2 Heliport,San Jose,-121.848503,37.361464
88CL,Park Place Heliport,Irvine,-117.8460007,33.67290115
88CO,Tranquila Airport,Yoder,-104.2490005,38.88610077
88D,Hinde Airport,Huron,-82.6013031,41.40370178
88FA,Tampa Hard Rock Helipad,Tampa,-82.370144,27.9955167
88FD,Bethesda Memorial Hospital Heliport,Boynton Beach,-80.07029724,26.50429916
88FL,Sailfish Point Heliport,Sewall's Point,-80.15670013,27.1697998
88G,Gradolph Field,Petersburg,-83.73490143,41.9197998
88GA,Beaver Creek Airport,Concord,-84.44470215,33.11190033
88IL,Mary's Landing Airport,Capron,-88.733299,42.413102
88IN,Gardner Airport,Boggstown,-85.932198,39.5798
88IS,Blickhan Lndg Area Airport,Quincy,-91.38210297,40.00839996
88KY,Saint Joseph Hospital Heliport,Lexington,-84.52519989,38.03290176
88LA,Freebird Field,Lafayette,-92.13510132,30.12940025
88LL,Block Airport,Pearl City,-89.83820343,42.19169998
88MN,Fox Field,Young America,-93.95030212,44.80170059
88MO,Howell Valley Airport,West Plains,-91.80269623,36.7016983
88NC,Corriher Field,Salisbury,-80.68530273,35.63249969
88ND,Goodman Strip,Milton,-97.9940033,48.70890045
88NE,Ensor Field,Johnson,-96.01719666,40.40390015
88NV,Black Rock City Airport,Gerlach,-119.212861,40.757333
88NY,Zelazny Airport,Shelby,-78.35839844,43.15779877
88OH,Chippewa Field,Williston,-83.31659698,41.59999847
88OI,Akron City Hospital Heliport,Akron,-81.50029755,41.08110046
88OK,Hilltop Airport,Stillwater,-97.09069824,36.19340134
88OL,Pace Field,Calvin,-96.271103,34.9645
88OR,Tallman Airport,Lebanon,-122.9710007,44.56829834
88PA,Mc Coy Airport,Clinton,-80.4131012,40.53919983
88TA,Figure 2 Ranch Airport,Van Horn,-104.8440018,31.45599937
88TE,Thunderbird Southwest Airport,La Grange,-96.799167,29.901667
88TN,Piney Creek Airport,Altamont,-85.779333,35.4245
88TS,Fort Wolters Helicopters Heliport,Mineral Wells,-98.05200195,32.83349991
88TX,Christus Mother Frances Hospital - Sulphur Springs Heliport,Sulphur Springs,-95.599235,33.158041
88VA,Belmont Farm Airport,Culpeper,-77.99189758,38.37419891
88VT,Hawk's Nest Airport,Isle Lamotte,-73.35030365,44.87829971
88WA,Personal 500 Sales Co. Heliport,Sumner,-122.223999,47.20370102
88WI,Nicolet Airport,Green Bay,-87.86070251,44.50830078
88XS,Bogan & Fontenot Airport,Nome,-94.387703,30.0191
89AK,Lincoln Village Airpark,Wasilla,-149.7050018,61.55939865
89CA,Swanson Ranch Nr 2 Airport,Riverdale,-119.8840027,36.46659851
89CL,Elwood Onshore Facility Heliport,Goleta,-119.9120026,34.43030167
89CO,Vallery Airport,Wiggins,-103.9919968,40.23889923
89D,Kelleys Island Land Field,Kelleys Island,-82.68460083,41.60279846
89FD,Tranquility Pad Heliport,Dade City,-82.24259949,28.40139961
89FL,Lake Hiawassee Seaplane Base,Orlando,-81.48090363,28.5291996
89GE,South Fulton Airport,Palmetto,-84.63880157,33.53760147
89IA,Chain Lakes Airpark,Cedar Rapids,-91.71679688,42.05139923
89IL,UMC Trauma Center Heliport,Moline,-90.526496,41.5028
89IN,Milhon Airport,Martinsville,-86.384724,39.511172
89IS,Voges Airstrip,Red Bud,-89.97509766,38.21670151
89KS,Neosho Memorial Regional Hospital Heliport,Chanute,-95.47329712,37.67499924
89KY,Clark Regional Medical Center Heliport,Winchester,-84.19656,38.00032
89LA,Acadiana One Office Bldg Heliport,Lafayette,-92.07929993,30.17490005
89LL,Norman Airport,Peotone,-87.72499847,41.35839844
89MN,Beskar Airport,Taylors Falls,-92.69689941,45.38769913
89MO,Bishop's Landing Airport,Westline,-94.57969666,38.58330154
89NC,Strickland Field,Fair Bluff,-79.02359772,34.26639938
89ND,Poleschook Airport,Minot,-101.2490005,47.91139984
89NE,George Airport,Hershey,-101.0009995,41.17029953
89NJ,Strawberry Fields Airport,Mays Landing,-74.72360229,39.48920059
89NY,Maxson Airfield,Alexandria Bay,-75.90034,44.312002
89OH,Blanchard Valey Regional Health Center Heliport,Findlay,-83.65139771,41.01779938
89OI,Circle C Airport,Berlin Center,-80.98400116,41.03889847
89OK,Neversweat Too Airport,Sallisaw,-94.89749908,35.44309998
89OR,Mucky Flat Airport,Eagle Point,-122.7129974,42.59790039
89PA,Kirschstein Heliport,Murrysville,-79.62809753,40.46620178
89TA,Soaring Club of Houston Gliderport,Waller,-95.96330261,30.19269943
89TE,Lajitas International Airport,Lajitas,-103.6869965,29.27799988
89TN,Edwards Heliport,Johnson City,-82.293611,36.4325
89TS,Carter Ranch Airport,Oakwood,-95.76660156,31.56679916
89TX,Aero-Bee Ranch Airstrip,Burnet,-98.41699982,30.87929916
89VA,Hidden River Airport,Edinburg,-78.52420044,38.52230072
89WA,Williams Airpatch Airport,Arlington,-122.0189972,48.27069855
89WI,Tuschen Airport,Jonesdale,-90.03209686,42.9068985
89XS,Joe Rye Heliport,Pearland,-95.3035965,29.58519936
89Y,Maidens Airport,Williamston,-84.32360077,42.73339844
8A4,Indianapolis Downtown Heliport,Indianapolis,-86.14890289,39.76589966
8A7,Twin Lakes Airport,Mocksville,-80.45680237,35.91490173
8AK0,Diamond NN Cannery Airport,South Naknek,-156.994991,58.710895
8AK1,Jacobus Field,Gulkana,-145.3630066,62.28030014
8AK2,Carty's Airstrip,Kenai,-151.2940063,60.70249939
8AK3,Roland Norton Memorial Airstrip,Selawik,-160.1529999,66.76599884
8AK4,Scout Lake Seaplane Base,Sterling,-150.852001,60.534199
8AK5,Fort Crosby Airport,Trapper Creek,-150.265277,62.513888
8AK6,Little Susitna Airport,Susitna Station,-150.2619934,61.37189865
8AK8,North Cubs Strip Airport,Wasilla,-149.6829987,61.63000107
8AK9,Tok 2 Airport,Tok,-143.0169296,63.30890479
8AL0,Mitchell Dam Heliport,Clanton,-86.446674,32.800559
8AL1,Med West-Hoover Heliport,Hoover,-86.85609,33.354794
8AL2,Charles C Killough Field,Talladega,-86.262135,33.355426
8AL3,Fricks Field Airport,Boaz,-86.0885667,34.1417667
8AL4,Lay Dam Heliport,Jemison,-86.519564,32.959231
8AL5,Plant Gorgas Heliport,Parrish,-87.197172,33.642483
8AL6,Air Evac Base 32 Heliport,Scottsboro,-86.049279,34.660352
8AL8,Woodland Clinic Heliport,Woodland,-85.396754,33.373278
8AL9,Wiregrass Hospital Heliport,Geneva,-85.89160156,31.0496006
8AN6,Isaacson Airport,Medical Lake,-117.6819992,47.65919876
8AR0,Hargrove Airport,Stuttgart,-91.56400299,34.51259995
8AR1,Totty Field Airport,Oakland,-92.64219666,36.48939896
8AZ5,Lizzy Lizard Airport,Portal,-109.056917,31.897944
8B2,Twin Mountain Airport,Twin Mountain,-71.54759979,44.26399994
8C2,Sully Municipal Airport,Sully,-92.84660339,41.57410049
8C5,Toledo Municipal Airport,Toledo,-92.54799652,41.98820114
8C6,Traer Municipal Airport,Traer,-92.45800018,42.19919968
8CA0,Osborne Airport,Victorville,-117.2669983,34.58390045
8CA1,Merle Norman Cosmetics (Sylmar) Heliport,Sylmar,-118.4649963,34.30500031
8CA2,Auburn Cdf Heliport,Auburn,-121.0530014,38.93460083
8CA3,High Hill Ranch Heliport,Camino,-120.7180023,38.74209976
8CA4,Sce Eastern Division Heliport,San Bernardino,-117.3519974,34.10559845
8CA5,Pines Airpark,Winchester,-117.1100006,33.64559937
8CA6,Yucca Valley Service Center Heliport,Yucca Valley,-116.413002,34.12609863
8CA7,Platform Henry Heliport,Carpinteria,-119.560997,34.33309937
8CA8,Wallom Field,Lodi,-121.2080002,38.06740189
8CA9,Kgtv-10 Parking Lot Heliport,San Diego,-117.0979996,32.71979904
8CL0,Nichols Farms Airport,Palmdale,-117.8259964,34.58890152
8CL1,Lake Wohlford Resort Airport,Escondido,-117.0023346,33.17534732
8CL2,Lucchetti Ranch Airport,Elk Grove,-121.2269974,38.42350006
8CL3,NBC-TV Heliport,Burbank,-118.3310013,34.15359879
8CL4,A G Spanos Companies Hq Heliport,Stockton,-121.370251,38.047638
8CL5,R I Ai Canoga Park B/2 Helistop,Los Angeles,-118.586998,34.23360062
8CL6,Moller Airport,Maxwell,-122.189003,39.28850174
8CL7,Lodi Memorial Hospital Heliport,Lodi,-121.286746,38.122463
8CL8,United Ca Bank Data Processing Ops Heliport,Los Angeles,-118.2919998,34.06969833
8CL9,Bland Field,Kerman,-120.0299988,36.71239853
8CO0,Kent Airport,Wiggins,-104.0029984,40.25279999
8CO1,Prospect Peak Heliport,Texas Creek,-105.5210037,38.47779846
8CO2,William Leon Schawo Airport,Briggsdale,-104.2080002,40.67079926
8CO3,Fremont Peak Heliport,Canon City,-105.2860031,38.45389938
8CO4,East Moore Field,Byers,-104.1360016,39.67050171
8CO5,Widner Airport,Hotchkiss,-107.8919983,38.83390045
8CO6,Arkansas Valley Regional Medical Center Heliport,La Junta,-103.5500031,37.96139908
8CO7,Colorado Antique Field,Niwot,-105.1719971,40.12250137
8CO8,Koenig Airport,Yuma,-102.7279968,40.10829926
8CO9,Pine View Airport,Elizabeth,-104.5810013,39.3443985
8D4,Paul C. Miller-Sparta Airport,Sparta,-85.67919922,43.12739944
8D6,Mc Intosh Municipal Airport,Mc Intosh,-101.3460007,45.90829849
8D8,Lake Andes Municipal Airport,Lake Andes,-98.54039764,43.14799881
8D9,Howard Municipal Airport,Howard,-97.53780365,44.02909851
8FA0,Lake Gibson Seaplane Base,Lakeland,-81.95870209,28.10860062
8FA4,Samsula / Coe Field,,-81.13283157,29.01020458
8FD1,Buckner Airport,Mc Alpin,-82.92759705,30.09880066
8FD2,The Flying Horseman Airport,Melrose,-82.09429932,29.71520042
8FD3,Blackwater Airfield,Munson,-86.85440063,30.87770081
8FD4,Wuesthoff Hospital Emergency Heliport,Rockledge,-80.7303009,28.33609962
8FD5,Lykes Brighton Airport,Okeechobee,-81.08699799,27.18889999
8FD7,Lucerne Medical Center Heliport,Orlando,-81.3787,28.5308
8FD8,Bayflite One Heliport,Odessa,-82.62059784,28.19389915
8FD9,Colony Heliport,La Belle,-81.38510132,26.75309944
8FL0,Hutson Airfield,Hastings,-81.43979645,29.72800064
8FL1,Mc Donald's Field,Arcadia,-81.91560364,27.1970005
8FL2,Norton Airport,Belleview,-82.1006012,29.00110054
8FL3,Back Achers Airport,Belleview,-81.99949646,29.07299995
8FL4,Bay Medical Center Heliport,Panama City,-85.6493988,30.15780067
8FL5,Dancing Oaks Heliport,Bartow,-81.863503,27.9484
8FL6,George T Mc Cutchan Airport,Harold,-86.85189819,30.67350006
